amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	signature-confirmation-recommended 
004-8448350-8063450	004-8448350-8063450	2024-02-09T13:59:14+00:00	2024-02-10T08:39:40+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	75	5.25							CLEARWATER	FL	33755-1618	US		FALSE			FALSE
003-0432955-0323453	003-0432955-0323453	2024-02-09T03:21:37+00:00	2024-02-09T08:23:55+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	53.82	4.44							Katy	TX	77493-3420	US		FALSE			FALSE
000-6306389-6390635	000-6306389-6390635	2024-02-09T00:49:34+00:00	2024-02-09T07:25:18+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	27.95	2.17							ALPINE	CA	91901-4104	US		FALSE			FALSE
002-3260504-2009455	002-3260504-2009455	2024-02-08T23:01:19+00:00	2024-02-09T04:29:47+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	75	6.19							FRISCO	TX	75036-8268	US		FALSE			FALSE
002-4653036-4504240	002-4653036-4504240	2024-02-08T22:10:09+00:00	2024-02-09T08:52:42+00:00	Cancelled	Amazon	Amazon.com			Expedited	REDACTED_2	Cancelled	0										New York	NY	10014	US		FALSE			FALSE
002-5062283-2639458	002-5062283-2639458	2024-02-08T13:12:58+00:00	2024-02-09T08:29:36+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	65								HUDSON	NH	03051-5118	US		FALSE			FALSE
004-3638860-3293860	004-3638860-3293860	2024-02-08T02:21:25+00:00	2024-02-08T11:39:52+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	300	26.63							BROOKLYN	NY	11229-5902	US		FALSE			FALSE
003-3528480-0093836	003-3528480-0093836	2024-02-07T23:35:15+00:00	2024-02-10T08:55:33+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	65								SOUTH WEYMOUTH	MA	02190-2805	US		FALSE			FALSE
003-3920060-0833046	003-3920060-0833046	2024-02-07T23:23:53+00:00	2024-02-07T23:33:59+00:00	Cancelled	Amazon	Amazon.com			Expedited	REDACTED_2	Cancelled	0										SOUTH WEYMOUTH	MA	02190-2805	US		FALSE			FALSE
000-5330504-6344239	000-5330504-6344239	2024-02-07T20:29:37+00:00	2024-02-07T21:03:52+00:00	Cancelled	Amazon	Amazon.com			Expedited	REDACTED_2	Cancelled	0										HOUSTON	TX	77057-1158	US		FALSE			FALSE
002-5430359-3833038	002-5430359-3833038	2024-02-06T13:59:39+00:00	2024-02-06T23:07:48+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	117								PHILADELPHIA	PA	19146-3941	US		FALSE			FALSE
000-8203438-9930639	000-8203438-9930639	2024-02-06T13:26:48+00:00	2024-02-06T21:28:53+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	100	9.75							LEBANON	TN	37087-7648	US		FALSE			FALSE
003-6506852-8660066	003-6506852-8660066	2024-02-06T05:02:59+00:00	2024-02-06T10:30:28+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	100	4.63							LONG BEACH	NY	11561-4013	US		FALSE			FALSE
003-6054345-6829045	003-6054345-6829045	2024-02-05T22:23:03+00:00	2024-02-06T09:41:41+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	29.95	1.39							HUNTINGTON STATION	NY	11746-1635	US		FALSE			FALSE
004-9308069-3640055	004-9308069-3640055	2024-02-05T15:21:58+00:00	2024-02-05T23:18:42+00:00	Cancelled	Amazon	Amazon.com			Expedited	REDACTED_1	Cancelled	0										VIRGINIA BEACH	VA	23452-2826	US		FALSE			FALSE
002-9522408-3944206	002-9522408-3944206	2024-02-04T17:20:30+00:00	2024-02-07T09:26:36+00:00	Shipped	Amazon	Amazon.com			Standard	REDACTED_2	Shipped	1	USD	88.45	7.3	1.57	0.13					BOERNE	TX	78006-8595	US		FALSE			FALSE
000-4030032-0000240	000-4030032-0000240	2024-02-04T14:23:33+00:00	2024-02-06T00:52:51+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	27.95	1.92							SANTA FE	NM	87508-4827	US		FALSE			FALSE
003-0582300-0039429	003-0582300-0039429	2024-02-04T09:29:41+00:00	2024-02-04T20:40:56+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	62.55	3.75							FAIRFAX	VA	22030-4846	US		FALSE			FALSE
003-3999803-8659465	003-3999803-8659465	2024-02-03T19:58:46+00:00	2024-02-05T13:19:46+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	78.8	7.19							GILROY	CA	95020-9335	US		FALSE			FALSE
